Yöntem,Precision@5 (duygu VAR),Precision@5 (duygu YOK),Recall@5 (duygu VAR),Recall@5 (duygu YOK),Precision fark (%),Recall fark (%)
İçerik Tabanlı,0.019333333333333334,0.018000000000000002,0.09666666666666666,0.09,7.4074074074074,7.40740740740741
İşbirlikçi Filtreleme,0.012666666666666666,0.013333333333333334,0.06333333333333334,0.06666666666666667,-5.000000000000009,-4.99999999999999
Hibrit (α=0.9),0.015333333333333332,0.013999999999999997,0.07666666666666666,0.07,9.523809523809543,9.523809523809506
